1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
1,2.0,12800.0
2,3.0,19200.0
3,4.0,8000.0
4,0.0,0.0
5,3.0,16740.0
6,4.0,212372.83999999997
7,7.0,661110.4499999998
8,10.0,0
9,0.0,0
10,4.0,0
11,4.0,0
12,5.0,0
