1,1,30/  /    ,32000.0,918.4,972.8,960.0,0.0,29148.8,true
1,2,30/  /    ,32000.0,918.4,972.8,640.0,0.0,29468.8,true
1,3,30/  /    ,10000.0,287.0,304.0,150.0,0.0,9259.0,true
2,1,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
2,2,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
2,3,30/  /    ,10000.0,287.0,304.0,0.0,0.0,9409.0,true
3,1,30/  /    ,32000.0,918.4,972.8,640.0,0.0,29468.8,true
3,2,30/  /    ,32000.0,918.4,972.8,1600.0,0.0,28508.8,true
3,3,30/  /    ,10000.0,287.0,304.0,100.0,0.0,9309.0,true
4,1,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
4,2,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
4,3,30/  /    ,10000.0,287.0,304.0,0.0,0.0,9409.0,true
4,4,30/  /    ,15000.0,430.5,456.0,0.0,0.0,14113.5,true
5,1,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
5,2,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
5,3,30/  /    ,10000.0,287.0,304.0,0.0,0.0,9409.0,true
6,1,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
6,2,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
6,3,30/  /    ,10000.0,287.0,304.0,0.0,0.0,9409.0,true
7,1,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
7,2,30/  /    ,32000.0,918.4,972.8,0.0,0.0,30108.8,true
7,3,30/  /    ,10000.0,287.0,304.0,0.0,0.0,9409.0,true
8,1,30/  /    ,32000.0,918.4,972.8,640.0,0.0,29468.8,true
8,2,30/  /    ,32000.0,918.4,972.8,960.0,0.0,29148.8,true
8,3,30/  /    ,10000.0,287.0,304.0,400.0,0.0,9009.0,true
8,4,30/  /    ,15000.0,430.5,456.0,0.0,0.0,14113.5,true
9,1,30/  /    ,32000.0,918.4,972.8,640.0,0.0,29468.8,true
9,2,30/  /    ,32000.0,918.4,972.8,960.0,0.0,29148.8,true
9,3,30/  /    ,10000.0,287.0,304.0,400.0,0.0,9009.0,true
9,4,30/  /    ,15000.0,430.5,456.0,0.0,0.0,14113.5,true
10,1,30/  /    ,32000.0,918.4,972.8,640.0,0.0,29468.8,true
10,2,30/  /    ,32000.0,918.4,972.8,960.0,0.0,29148.8,true
10,3,30/  /    ,10000.0,287.0,304.0,400.0,0.0,9009.0,true
10,4,30/  /    ,15000.0,430.5,456.0,0.0,0.0,14113.5,true
